Time_3	F_3:1	D_3:1	F_3:3	D_3:3	F_3:5	D_3:5	F_3:7	D_3:7	F_3:9	D_3:9	F_3:11	D_3:11	F_3:13	D_3:13
-4255.21292695496	1.23591524455696	2.79783265736143	17.1929764338192	-1.31715232922869	16.4863201369486	-1.39006546421064	16.0129919098603	-1.16492394117414	15.5685412304624	-0.990181115000075	15.0423700532303	-1.01393879324495	14.8828344553449	-0.875640688207736
-4249.85778978746	1.50227087270468	2.71008954256502	17.224987176593	-1.3230825797145	16.7293220405423	-1.43806979870835	16.3300830874772	-1.14844194204071	15.7789493203517	-1.00941446768733	15.2482020828385	-1.04139811960491	15.2355209831749	-0.896743382633286
-4244.23043145519	1.87311415560544	2.64149835472046	17.5064223278669	-1.42164996586427	16.931733506634	-1.38396189104549	16.5748557132978	-1.1814871616446	16.0303341912253	-1.04441349879027	15.4530978711343	-1.06025695560216	15.4838747750996	-0.915181767660127
-4238.89212745428	2.18125526420772	2.56127980851239	17.7370270273691	-1.34323136487114	17.0538664867127	-1.4105398037421	16.7520255269396	-1.19649671457953	16.2080128946595	-1.04213825934983	15.6475709257326	-1.05914735306981	15.5512318040055	-0.967879392880701
-4233.51821587142	2.54779984615743	2.50697207841006	18.1539878299195	-1.42340897828239	17.3501395379149	-1.46369761021416	16.9302223733138	-1.23470154102292	16.3562880523031	-1.07197116541952	15.8903245601315	-1.07339327363724	15.7824619746866	-0.919803824627107
-4228.15049641952	2.82035096362233	2.45659691510003	18.2896449361351	-1.42768036194246	17.4267858949444	-1.49507927828268	17.1615724780376	-1.24346770298354	16.5570843691984	-1.09099528731199	16.0560088076901	-1.0853347077361	16.0234364657186	-0.974133194029318
-4222.78771935683	2.97635681927204	2.41829354337068	18.4424694913482	-1.48858332051128	17.7507836786054	-1.54575894527344	17.3373709229131	-1.24224888618007	16.7610223210876	-1.09760541406727	16.2387077829227	-1.09601375651996	16.0982271480757	-0.932860799155603
-4217.4265685929	3.36875411402434	2.23728042083753	18.6533449435342	-1.48256368740223	17.9726283018432	-1.54017328565116	17.5267294021236	-1.26556710948223	16.9141592060882	-1.1179121071743	16.4325443046188	-1.11489590479605	16.3068980651147	-0.964994721977388
-4212.07083547208	3.79745651036501	2.18150796406906	18.7912393901852	-1.50532411050488	18.098206382706	-1.59357158148459	17.7031225842733	-1.28755888711004	17.1046145045452	-1.11717084480659	16.5439727015643	-1.11997197029318	16.5941227974541	-1.00330152879408
-4206.69273649994	3.92651521693915	2.1483826842175	18.9908045859743	-1.55273866623719	18.3035575401924	-1.60450861611046	17.8556809035439	-1.31599068901783	17.2331918801228	-1.14306384159885	16.6989461333089	-1.15501651683416	16.6271358724712	-1.03373714213484
-4201.32023307681	4.20101113244891	2.0916893372712	19.2379596916694	-1.57061310732535	18.4527732548259	-1.59265915446648	18.0683766649949	-1.32991889861267	17.366723713811	-1.15456454520093	16.9080915986667	-1.1560975252328	16.7656845377929	-0.980584421135984
-4195.93196832296	4.5745958937332	2.04655201488823	19.4090690588314	-1.56275566510927	18.6251209218941	-1.64458878198278	18.1693940858403	-1.33265051772258	17.5567264995997	-1.18346230303934	17.0476087115555	-1.15914552674814	17.0312611657578	-1.04831508024014
-4190.53236474004	4.76429845113307	2.02428307989203	19.6055309139547	-1.60150191777904	18.8551288728559	-1.66038254034979	18.3949911491858	-1.33366971055326	17.7255359010919	-1.19476652820834	17.2282469991107	-1.207983342197	17.1307272494724	-1.02162933149347
-4185.08752088249	5.12665383052081	1.9423730551427	19.7568455307787	-1.62564777797911	18.9351976063991	-1.63787488906446	18.5186983435992	-1.34764160168762	17.8989548360664	-1.2049620305693	17.4482628696871	-1.19295959118947	17.1284052937963	-1.01497366730973
-4179.6206154367	5.36424219608307	1.90024486282028	19.8580017940808	-1.62477840457475	19.1155025293075	-1.67139101368955	18.6380439436506	-1.38482319687777	18.0391539567403	-1.20528014802769	17.5914734737968	-1.18786238682384	17.4267961379169	-1.05503317598679
-4174.24484181404	5.54338232986629	1.81711724106862	20.1278398918962	-1.71813463181544	19.3107125480616	-1.70741545980258	18.7423457454005	-1.38151553215774	18.1809139872948	-1.22453480720603	17.6533643874783	-1.21454855261334	17.5787927768293	-1.07843956069145
-4168.87385530584	5.7497874032706	1.80535657959348	20.1864142244417	-1.70494354457756	19.5896624852859	-1.74288713857869	18.9678220603795	-1.40182636778586	18.2607326541037	-1.24313304318797	17.7093388425207	-1.18758800435785	17.7229805550637	-1.05885564149272
-4163.51627900451	5.99711108859628	1.73491761485264	20.5337342564371	-1.72386222901951	19.7425796103617	-1.6882807694498	19.0515402250702	-1.41898763696219	18.4240734999734	-1.2481473634838	17.9288910499201	-1.21098334070168	17.7174390762785	-1.07765696018546
-4158.14892605133	6.31415996234864	1.71023958164921	20.4712945204583	-1.74617401052327	19.5898299244187	-1.73315409702645	19.2703027026641	-1.40638917463772	18.598520333604	-1.26635216666684	18.0194664035859	-1.24607148819617	17.9947790883794	-1.09227798310051
-4152.78265122045	6.7765076616779	1.56096567807618	20.7310086445618	-1.73840778591628	19.8230060611805	-1.7490497255088	19.341483476297	-1.44068024182338	18.7047625921195	-1.27620825228469	18.2320732915115	-1.25476540026478	17.9919293920321	-1.10138061532409
-4147.42196816672	7.00217343866825	1.51612734467978	20.8651001658645	-1.77099003270271	20.0501894806467	-1.77205715656385	19.4170659805695	-1.418955405377	18.7942274221472	-1.28968747970301	18.2619937963633	-1.24988344150026	18.1381176173427	-1.11124569029893
-4142.05293107964	7.09976068045944	1.49696637917709	21.0053960234281	-1.75868559801227	20.080008775457	-1.75814755459809	19.4921455376561	-1.45422346403735	18.896401127215	-1.30850494964868	18.359774431097	-1.25233899888493	18.2657806405396	-1.10378663378509
