Time_3	F_3:1	D_3:1	F_3:3	D_3:3	F_3:5	D_3:5	F_3:7	D_3:7	F_3:9	D_3:9	F_3:11	D_3:11
-3706.35100711137	48.5312938913703	6.01661821101094	36.7762464899924	-4.51883597775822	33.5036165465555	-4.55329030758222	31.9225696687101	-3.80490153859223	30.3558615064606	-3.57220992295663	28.2655734083379	-3.25341213948921
-3701.77043637726	48.6742881638929	5.98493984897225	36.5696632552003	-4.52677272443123	33.4427663807712	-4.53687367608041	31.9993003372549	-3.83487538538129	30.4227650694695	-3.58053889696864	28.4258682675851	-3.22762022813769
-3697.20099199098	48.5450630476698	6.00013588877612	36.6022627471989	-4.54556356024867	33.5171239999078	-4.49178650024155	31.9776601046235	-3.82971066737071	30.4105103611267	-3.57337764604894	28.3330398502186	-3.26231745243978
-3692.62767265085	48.4885329036042	6.02065848377963	36.6377388003325	-4.46119428693451	33.4792769675098	-4.53946602066924	31.9434307749695	-3.83556282425639	30.3741134487239	-3.57760251650084	28.3017860490678	-3.26352118402013
-3688.05410311092	48.5446299742907	5.98019949094946	36.5561671983805	-4.53338717371208	33.3985548217735	-4.51029296450597	31.9483517748879	-3.84441416058498	30.405896809298	-3.57234459038303	28.3928718562344	-3.23484098119918
-3683.48340458237	48.5276096640155	5.98604074332262	36.6769411278624	-4.48998833370477	33.4919210975015	-4.50683761693722	31.9948191781043	-3.81250892857688	30.4215103867303	-3.5856238493511	28.3312384183624	-3.25774868124696
-3678.89321184251	48.5721485009417	6.04402669876548	36.6468555896586	-4.51300218932537	33.419828375145	-4.52981065056014	31.9452272972801	-3.8410997367365	30.425946261252	-3.58027731679559	28.3406772588652	-3.2426951152644
-3674.3208914157	48.5591169586405	6.00141891025963	36.5917690638807	-4.48558538207426	33.4184800383589	-4.53576483772475	31.9223433551953	-3.82144671768632	30.4345712619672	-3.56617643639018	28.4132427616065	-3.26804323361412
-3669.75381764118	48.701785242185	5.9970555509688	36.5994658215945	-4.47007925246468	33.5219408919058	-4.48945239186106	31.9605222312377	-3.86240918932337	30.4385991302777	-3.56495064809579	28.439920025338	-3.22260933887947
-3665.18400172703	48.6464340668172	6.03557603276441	36.5902279243228	-4.58058714607322	33.568557622	-4.49045218244155	31.9155757799656	-3.83513461519502	30.4435927726475	-3.57660406635461	28.3354082035259	-3.22456446130688
-3660.61780176591	48.6627675155178	5.9811722808813	36.734262678187	-4.47154139116831	33.5595818740273	-4.53650581343241	31.9762041355795	-3.83602482602927	30.449302073914	-3.57816398476924	28.4479927565077	-3.24414880744738
-3656.05148487724	48.6786602148786	5.96380803600259	36.6160869952646	-4.53830154783456	33.4921580252191	-4.526784216393	31.9558859659002	-3.83632917700591	30.445145950481	-3.57160454665742	28.4329574923137	-3.25804819474679
-3651.48678800091	48.6677093151957	6.05440622987043	36.6523144084072	-4.50726331542172	33.484009090527	-4.51138005410721	31.9974656818078	-3.84000275470914	30.4523326331689	-3.56296480318857	28.3740431648277	-3.25600451862939
-3646.59409614746	48.6593887303025	6.02276965002607	36.610288590849	-4.47826034797007	33.597827779218	-4.51075262259707	32.0038821399123	-3.83638583925863	30.460216971667	-3.5793336539154	28.4089831068624	-3.25090030351205
-3642.02765227295	48.5978870391846	5.99019768919168	36.7355115476107	-4.48299587932713	33.5361214120828	-4.53444730403184	31.9592542169259	-3.84716619775407	30.4529463780571	-3.56547357218999	28.3918261787618	-3.26821166136329
-3637.46033269912	48.6106317713857	5.99911240976461	36.6340420830106	-4.48946074140654	33.5055868041656	-4.48953484759841	32.1136837069391	-3.85163496600926	30.4896925438759	-3.57526734591794	28.4244472705019	-3.26618166080055
-3632.89513542317	48.6596838887781	6.00637701365035	36.6323082273561	-4.46262469852011	33.5081458409274	-4.50577002572948	32.048940460588	-3.84945028406658	30.4488554935636	-3.57029471798939	28.4141861642817	-3.21669420482278
-3628.3119382197	48.649079550989	6.00852893569412	36.7754564546403	-4.50096747151159	33.6446173165879	-4.51485071243767	32.029318816951	-3.84744211163309	30.4650314888343	-3.5814579736214	28.4192229613174	-3.27251639809402
-3623.74786747154	48.7468754434958	5.93516182404339	36.6562593716239	-4.51886884859813	33.589211881622	-4.52769618872035	32.0223327406727	-3.83843750098989	30.5178517019733	-3.56974456823474	28.4933971859706	-3.23624967220712
