Time_4	F_4:1	D_4:1	F_4:3	D_4:3	F_4:5	D_4:5	F_4:7	D_4:7	F_4:9	D_4:9	F_4:11	D_4:11	F_4:13	D_4:13
-16378.9102161443	-1.84343188907951	23.1019937079903	19.8115819997195	-0.479746301805409	20.7931803307454	0.0913728746830306	20.7179367330635	0.278022117025306	20.8912017923204	0.703701212931615	21.220902478714	0.815034741522699	21.5765365596315	0.946650180706326
-16377.4855979159	-2.24088335037231	23.1741968471707	19.4748460365193	-0.50614639110903	20.8022765359799	0.0977104593100923	20.5766918234702	0.263026156736236	20.9348824957947	0.701561035908934	21.0879915518031	0.796155218694314	21.7276940144341	0.771852263801646
-16376.0646163858	-1.77298131585121	23.0519189323541	19.4582750176745	-0.398149624949969	20.6458696818866	0.0647674711301808	20.6325573773432	0.219841836018266	20.8465805432802	0.708626462267556	21.1401398065605	0.802913164252975	21.6145451503619	0.878015463389614
-16374.6440088982	-1.88116335682571	22.9981036598278	19.5183864385243	-0.480274276203875	20.7228839917996	0.0309129239043092	20.5194374207051	0.180711073473849	21.0186697814138	0.693859638644024	21.2331696063471	0.865114337960639	21.4915765683552	0.842613859126145
-16373.2202657405	-2.05456139054149	23.1267389311114	19.6422876349692	-0.452203861131483	20.8662255807738	0.00999692502992292	20.5216939993377	0.155860804380912	20.8829935390027	0.697579456426975	21.2213265149622	0.782560363834368	21.7694518129727	0.857271490055238
-16371.8006552802	-2.05377198196948	23.1240965769058	19.7745480103152	-0.516928959917823	20.6601306146898	0.143678902141089	20.6211042501207	0.210591035167714	20.9015750990912	0.692167756028691	21.2930182169976	0.853021374524947	21.5088207434317	0.863711112718418
-16370.3716635844	-1.83668033033609	23.111973620341	19.8558798420284	-0.480362987809417	21.0118430941323	0.156294460364619	20.4896448532561	0.226150241504717	20.9059933149093	0.704323143083822	21.1043038536391	0.795702342725098	21.6174763675233	0.901368949031804
-16368.9526805095	-2.08388303220272	23.0581093467143	19.8004777102772	-0.442564720805638	20.5968761823099	0.0569800709405674	20.6716709233995	0.209181835719837	20.8783869037966	0.683579176064323	21.1001109432282	0.779051418165925	21.5158663935702	0.859535620749226
-16367.5283225393	-2.1162394778803	23.1240894145335	19.8162139132972	-0.526278347547037	20.8820533445994	0.0271254539964891	20.6264834053989	0.228767509129005	20.9146576290269	0.682065690941509	21.2229623563099	0.791256635442953	21.576047309806	0.859142704760954
-16366.1087001348	-2.36891967058182	23.1245212473176	19.7427331339921	-0.470407606056898	20.7113068125166	0.0834786541198572	20.712382979815	0.266049948141349	20.9463866450661	0.687795517192565	21.1965913859472	0.851920019143667	21.5670995470739	0.859220531297536
